Item_status,Item_ID,Category,Year_est,Warehouse_ID,Location_type,Warehouse_size,Warehouse_type,Item_engage_rate,Item_wt,Sales,Rating
Discounted,FDH19,"Large Appliances",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.03292824,14.0691634126258,19818.750566794602,5
Non-Discounted,FDB57,Electronics,2017,BLR7,Suburban,Small,"Mega FC",0.018801549,1.68091108100892,14716.7600060361,5
Discounted,FDO23,Watches,2022,DEL5,Urban,Medium,"Regional FC",0.14702383400000002,0.233281503632038,3585.7839850441096,5
Discounted,BAS07,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.077628053,0.24797406695503002,1359.10345614265,5
Discounted,FDJ56,Electronics,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.18251488100000002,1.59540444644199,7912.800507268939,5
Discounted,DRN47,Kitchenware,2022,DEL5,Urban,Medium,"Regional FC",0.016895293000000002,3.62482458256495,431.03594445666397,5
Non-Discounted,FDZ07,Electronics,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.015643919000000003,1.51563235419361,8117.155369669359,5
Discounted,NCK31,Others,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.026916794,0.400374476174766,381.872455905136,5
Discounted,FDJ41,Apparel,2022,DEL5,Urban,Medium,"Regional FC",0.022976497000000002,0.571803419601701,616.976063906825,5
Discounted,DRI51,Groceries,2022,DEL5,Urban,Medium,"Regional FC",0.042413704,1.24670082248633,171.696847313841,5
Non-Discounted,FDC40,Groceries,2020,AMD2,Suburban,Medium,"Mega FC",0.065431917,1.76248209893475,200.032177812942,5
Discounted,FDB53,Apparel,2020,AMD2,Suburban,Medium,"Mega FC",0.140241213,0.557953103197813,1061.25948459946,5
Discounted,FDA16,Apparel,2017,BLR7,Suburban,Small,"Mega FC",0.033935576,0.476872323703783,694.779560689714,5
Non-Discounted,FDO19,Electronics,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.016516275,1.48372330740953,7171.43690525591,5
Discounted,FDO04,Apparel,2016,SGAA,Rural,Small,"Mega FC",0.026537206,0.40595781719600704,760.279427225824,5
Non-Discounted,FDL25,"Pet Supplies",2019,SIDA,Rural,Medium,"Mega FC",0.131128467,1.40169496548732,720.556094950754,5
Discounted,NCJ30,"Beauty & Personal Care",2016,SGAA,Rural,Small,"Mega FC",0.080640478,0.113964167161407,1102.4979992715998,5
Discounted,NCQ41,"Home Entertainment",2014,BLR5,Urban,Large,"Mega FC",0.01946418,2.76622220435555,4452.42210215785,5
Discounted,DRJ35,Kitchenware,2014,BLR5,Urban,Large,"Mega FC",0.046545786000000006,2.18198118969373,351.545413556881,5
Discounted,NCE31,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.184689756,0.367513087631045,1436.4360933865198,5
Discounted,FDY09,Household,2020,AMD2,Suburban,Medium,"Mega FC",0.025342692,2.1883403899108,888.40042821372,5
Discounted,FDZ04,Apparel,2014,BLR5,Urban,Large,"Mega FC",0.037923509,0.6284129047772621,372.302674585068,5
Discounted,FDY07,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.121848436,0.8493944402857521,12456.2242750974,5
Non-Discounted,FDO45,Household,2015,SATA,Suburban,Medium,"Mega FC",0.038029746,2.18722076795069,999.714494084807,5
Discounted,FDB09,Electronics,2019,SIDA,Rural,Medium,"Mega FC",0.057485328,1.18424070844156,14592.3016642355,5
Non-Discounted,FDP51,"Large Appliances",2016,SGAA,Rural,Small,"Mega FC",0.08527498800000001,39.042292781651,23786.4306414237,5
Non-Discounted,FDT50,Groceries,2014,BLR5,Urban,Large,"Mega FC",0.10814891300000001,0.619921932497522,168.756901845276,5
Non-Discounted,FDQ08,Electronics,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.018838681,1.46391845960773,16725.6462702375,5
Discounted,DRL11,Kitchenware,2015,SATA,Suburban,Medium,"Mega FC",0.048115543000000004,1.68604691499997,341.92557611154797,5
Discounted,FDT34,Household,2019,SIDA,Rural,Medium,"Mega FC",0.174621343,2.04703830770326,526.014481999734,5
Non-Discounted,FDP01,"Pet Supplies",2013,DEL4,Urban,Medium,"Specialized Storage",0.10599465400000001,1.7067921316296,709.220653664451,5
Discounted,NCJ31,Others,2014,BLR5,Urban,Large,"Mega FC",0.182501773,1.1234830380714,541.750240256282,5
Discounted,NCL30,"Beauty & Personal Care",2017,BLR7,Suburban,Small,"Mega FC",0.048931174,0.283866003610784,1837.23028807864,5
Discounted,FDF04,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.013658248000000001,0.6155339308308411,685.0446855631379,5
Discounted,NCZ42,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.011305479,0.302493448905766,551.10963630806,5
Discounted,FDG24,Fitness,2019,SIDA,Rural,Medium,"Mega FC",0.014653896000000001,4.14441141388583,1021.7281126153299,5
Discounted,FDV49,"Books, Games & Toys",2019,SIDA,Rural,Medium,"Mega FC",0.025867353000000003,0.71809699103139,550.524137021554,5
Discounted,AMZ01,"Books, Games & Toys",2019,SIDA,Rural,Medium,"Mega FC",0.024201905000000003,0.494283618697794,283.583471736389,5
Discounted,DRF27,Groceries,2019,SIDA,Rural,Medium,"Mega FC",0.028461453,1.56243458201885,148.227769290075,5
Discounted,FDF16,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.08626628600000001,0.632913791056067,821.204100378738,5
Discounted,FDU04,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.005557062000000001,0.324760169472922,730.146259595268,5
Discounted,FDP04,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.013834247000000001,0.6899735151721681,555.351944925216,5
Discounted,FDD05,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.016637301,0.436451679628209,829.42023225478,5
Discounted,FDV07,Electronics,2019,SIDA,Rural,Medium,"Mega FC",0.031331581000000004,1.08724923577257,14012.179033316701,5
Discounted,FDT20,Electronics,2019,SIDA,Rural,Medium,"Mega FC",0.041459804,1.17956540347035,14368.184223124,5
Discounted,FDC44,Electronics,2019,SIDA,Rural,Medium,"Mega FC",0.013658248000000001,1.29905654565443,14187.4042998024,5
Discounted,DRM59,Kitchenware,2019,SIDA,Rural,Medium,"Mega FC",0.0035976780000000004,1.96873379448768,423.015955904085,5
Discounted,DRG23,Kitchenware,2019,SIDA,Rural,Medium,"Mega FC",0.08691612600000001,1.27813481703996,455.85400245023,5
Discounted,NCJ29,"Home Entertainment",2019,SIDA,Rural,Medium,"Mega FC",0.035247642,2.23237099674417,4240.88688647638,5
Discounted,NCM42,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.028365524000000003,0.49151570513101306,1224.26536275693,5
Discounted,NCY42,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.015186146000000001,0.380302366614633,1442.60316634275,5
Discounted,NCX54,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.048134591000000004,0.334443857111682,791.9804262478369,5
Discounted,NCI06,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.047791878,0.324056488776499,1802.68857236844,5
Discounted,NCQ02,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.007468056000000001,0.336819049749882,1809.72950391041,5
Discounted,NCR38,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.11369495700000001,0.356811460900596,1280.97377018309,5
Discounted,NCM30,"Beauty & Personal Care",2019,SIDA,Rural,Medium,"Mega FC",0.067400032,0.524876402324706,1527.6957373114099,5
Discounted,FDK43,"Large Appliances",2019,SIDA,Rural,Medium,"Mega FC",0.026882496000000002,10.1041025827205,18493.1265965216,5
Discounted,FDK21,Household,2019,SIDA,Rural,Medium,"Mega FC",0.010027885,2.74515172489865,707.311921597597,5
Discounted,SDD45,Household,2019,SIDA,Rural,Medium,"Mega FC",0.028988288,1.90860215667524,915.813959843862,5
Discounted,FDV09,Household,2019,SIDA,Rural,Medium,"Mega FC",0.020600553,3.46978789213422,1059.62116335065,5
Non-Discounted,FDU12,Fitness,2019,SIDA,Rural,Medium,"Mega FC",0.075868843,5.97080472112873,813.4963162385329,5
Non-Discounted,FDZ47,Fitness,2019,SIDA,Rural,Medium,"Mega FC",0.07941975500000001,2.92589885861316,1142.1095240799,5
Non-Discounted,FDO11,Watches,2019,SIDA,Rural,Medium,"Mega FC",0.030311951,0.16210285522641302,4324.850710193809,5
Non-Discounted,FDU49,"Books, Games & Toys",2019,SIDA,Rural,Medium,"Mega FC",0.030742083000000003,1.34580203772429,300.74675851262197,5
Non-Discounted,FDA02,Groceries,2019,SIDA,Rural,Medium,"Mega FC",0.02976887,1.62375639737607,105.597549083647,5
Non-Discounted,FDV26,Groceries,2019,SIDA,Rural,Medium,"Mega FC",0.142107998,1.8284021650957,225.77625439987798,5
Non-Discounted,FDA04,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.066833743,0.0574220665106996,564.432916824975,5
Non-Discounted,FDO52,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.077284566,1.00388774285032,198.83960077569898,5
Non-Discounted,FDA40,Apparel,2019,SIDA,Rural,Medium,"Mega FC",0.09942555,0.38798592452513203,446.747473029751,5
Non-Discounted,FDS27,"Large Appliances",2019,SIDA,Rural,Medium,"Mega FC",0.012477512000000001,52.540124136813404,13326.9361360095,5
Non-Discounted,FDU15,"Large Appliances",2019,SIDA,Rural,Medium,"Mega FC",0.026643448,22.9955087707022,26702.008679482202,5
Non-Discounted,FDV33,Household,2019,SIDA,Rural,Medium,"Mega FC",0.027386122000000002,1.54657358803104,820.800634564292,5
Non-Discounted,FDV34,Household,2019,SIDA,Rural,Medium,"Mega FC",0.011443222000000001,1.97130902904219,920.096472231317,5
Non-Discounted,AMZ46,Household,2019,SIDA,Rural,Medium,"Mega FC",0.058207114000000004,3.02296766632883,1044.27120919251,5
Discounted,NCA53,"Home Entertainment",2019,SIDA,Rural,Medium,"Mega FC",0.009893817000000001,2.02805462222451,6280.331513406049,5
Non-Discounted,FDT24,Fitness,2019,SIDA,Rural,Medium,"Mega FC",0.18614827,5.8370951791181,917.743206456391,5
Non-Discounted,AMZ27,Groceries,2019,SIDA,Rural,Medium,"Mega FC",0.114294512,1.39639877454491,69.79128728175401,5
Discounted,NCQ38,Others,2018,DEL2,Rural,Small,"Specialized Storage",0.023402893,1.33231298367722,701.551131941607,5
Discounted,FDK02,"Books, Games & Toys",2018,DEL2,Rural,Small,"Specialized Storage",0.19649090200000002,0.9978739097840561,580.72690823004,5
Discounted,FDI15,Groceries,2018,DEL2,Rural,Small,"Specialized Storage",0.24749009,1.70796024524986,103.477607751001,5
Discounted,FDE09,Electronics,2018,DEL2,Rural,Small,"Specialized Storage",0.037824735000000005,1.18660608091676,12816.750412247,5
Discounted,FDS55,Electronics,2018,DEL2,Rural,Small,"Specialized Storage",0.142107998,1.88583727031368,7736.08686300616,5
Discounted,FDZ56,Electronics,2018,DEL2,Rural,Small,"Specialized Storage",0.04506213,1.40762148653576,10021.5810474541,5
Discounted,NCA05,"Home Entertainment",2018,DEL2,Rural,Small,"Specialized Storage",0.044000492,3.3089986154129,1692.83304100695,5
Discounted,NCK29,"Home Entertainment",2018,DEL2,Rural,Small,"Specialized Storage",0.016486511000000002,3.28211717552723,6146.21996156937,5
Discounted,NCU29,"Home Entertainment",2018,DEL2,Rural,Small,"Specialized Storage",0.044607722,2.21913938331125,4958.37576764005,5
Discounted,NCX41,"Home Entertainment",2018,DEL2,Rural,Small,"Specialized Storage",0.031024168,2.87333149626489,3414.0261968238897,5
Discounted,NCG07,"Beauty & Personal Care",2018,DEL2,Rural,Small,"Specialized Storage",0.09192431100000001,0.32905504576935,1284.03484845099,5
Discounted,NCI30,"Beauty & Personal Care",2018,DEL2,Rural,Small,"Specialized Storage",0.10318849100000001,0.40208455463625103,1895.7561693084199,5
Discounted,NCR54,"Beauty & Personal Care",2018,DEL2,Rural,Small,"Specialized Storage",0.158562708,0.413030309938315,1087.56534642615,5
Discounted,NCT06,"Beauty & Personal Care",2018,DEL2,Rural,Small,"Specialized Storage",0.067824456,0.18178474458139002,1717.0662217338,5
Discounted,FDN15,"Large Appliances",2018,DEL2,Rural,Small,"Specialized Storage",0.029299175,44.4264559342808,19614.4901241298,5
Discounted,FDJ45,"Automotive & Tools",2018,DEL2,Rural,Small,"Specialized Storage",0.12853255800000002,3.37706625307901,2324.38345986049,5
Non-Discounted,FDL13,"Pet Supplies",2018,DEL2,Rural,Small,"Specialized Storage",0.098606543,3.73843465318798,815.126341348234,5
Non-Discounted,FDL02,"Books, Games & Toys",2018,DEL2,Rural,Small,"Specialized Storage",0.18223655500000002,0.6040691280135091,470.133820292371,5
Non-Discounted,FDF56,Electronics,2018,DEL2,Rural,Small,"Specialized Storage",0.20916293600000002,1.23277795035793,14451.3543943284,5
Non-Discounted,FDQ27,"Large Appliances",2018,DEL2,Rural,Small,"Specialized Storage",0.07748062700000001,19.8506900173264,17350.8360420485,5
Non-Discounted,FDG35,Luggage,2018,DEL2,Rural,Small,"Specialized Storage",0.012327847000000001,0.785488783309634,1072.16256387414,5
Non-Discounted,FDD38,"Books, Games & Toys",2018,DEL2,Rural,Small,"Specialized Storage",0.014342659,0.990509592267744,557.7497598780479,5
Non-Discounted,FDE41,Apparel,2018,DEL2,Rural,Small,"Specialized Storage",0.016486511000000002,0.607417305160568,498.00692726623197,5
Discounted,FDP24,Fitness,2016,SGAA,Rural,Small,"Mega FC",0.08300407800000001,5.27368195116757,665.3454670489909,5
Discounted,FDH38,"Books, Games & Toys",2016,SGAA,Rural,Small,"Mega FC",0.01043823,1.14327213404984,522.145299968979,5
Discounted,FDT49,"Books, Games & Toys",2016,SGAA,Rural,Small,"Mega FC",0.151405587,0.33092758256139204,489.677856371322,5
Discounted,FDN02,"Books, Games & Toys",2016,SGAA,Rural,Small,"Mega FC",0.073827748,1.34237141256966,437.871561890536,5
Discounted,DRF27,Groceries,2016,SGAA,Rural,Small,"Mega FC",0.028417272,1.24721935269329,88.9414596003612,5
Discounted,FDT02,Groceries,2016,SGAA,Rural,Small,"Mega FC",0.024194731,1.2154465046387,151.247327060499,5
Discounted,FDF05,Apparel,2016,SGAA,Rural,Small,"Mega FC",0.02687089,0.32158014582592204,850.8989129821459,5
Discounted,FDI45,Electronics,2016,SGAA,Rural,Small,"Mega FC",0.037581243,0.817150345217117,9993.654167122239,5
Discounted,FDZ20,Electronics,2016,SGAA,Rural,Small,"Mega FC",0.034306962,0.8338968911152671,10913.9778820606,5
Discounted,NCC42,"Home Entertainment",2016,SGAA,Rural,Small,"Mega FC",0.044908404000000006,3.86209490842481,6318.66808102071,5
Discounted,NCQ53,"Home Entertainment",2016,SGAA,Rural,Small,"Mega FC",0.018905326,1.69961240415253,8271.03600905899,5
Discounted,NCR54,"Beauty & Personal Care",2016,SGAA,Rural,Small,"Mega FC",0.090562192,0.26876759650111903,1312.90455885632,5
Discounted,NCX06,"Beauty & Personal Care",2016,SGAA,Rural,Small,"Mega FC",0.015687045,0.43746001357352005,1774.86037529892,5
Discounted,NCO06,"Beauty & Personal Care",2016,SGAA,Rural,Small,"Mega FC",0.10803043400000001,0.263480880089545,1637.6362197665999,5
Discounted,NCN54,"Beauty & Personal Care",2016,SGAA,Rural,Small,"Mega FC",0.021326471,0.245242434214886,1097.03861723441,5
Discounted,FDL27,"Large Appliances",2016,SGAA,Rural,Small,"Mega FC",0.010630949,26.3781246310716,26266.6837997314,5
Discounted,FDV51,"Large Appliances",2016,SGAA,Rural,Small,"Mega FC",0.032538896000000005,33.6231675640524,9518.47857518976,5
Discounted,FDC46,Household,2016,SGAA,Rural,Small,"Mega FC",0.116542484,2.55154692814241,669.187515220739,5
Discounted,FDZ58,Household,2016,SGAA,Rural,Small,"Mega FC",0.052176861000000005,2.96123734823676,1040.70606839967,5
Discounted,FDN21,Household,2016,SGAA,Rural,Small,"Mega FC",0.07685562800000001,2.05371101754583,274.708663840809,5
Discounted,FDO58,Household,2016,SGAA,Rural,Small,"Mega FC",0.039577173,2.98822006438052,1757.63408843226,5
Discounted,DRD24,"Smart Home",2016,SGAA,Rural,Small,"Mega FC",0.030795085000000003,1.58402306438113,1719.89270989631,5
Discounted,DRI37,"Smart Home",2016,SGAA,Rural,Small,"Mega FC",0.10759787900000001,2.34340375735737,1772.2321766860398,5
Non-Discounted,FDI12,Fitness,2016,SGAA,Rural,Small,"Mega FC",0.10039894,3.74748449349346,1033.1850440752999,5
Non-Discounted,FDP12,Fitness,2016,SGAA,Rural,Small,"Mega FC",0.045266806,4.14577211595213,724.111306165298,5
Non-Discounted,FDO01,"Pet Supplies",2016,SGAA,Rural,Small,"Mega FC",0.020718655000000002,2.72263937423441,704.179100315076,5
Non-Discounted,FDZ37,"Books, Games & Toys",2016,SGAA,Rural,Small,"Mega FC",0.019768503,1.776509701982,520.77023103278,5
Non-Discounted,FDJ15,Groceries,2016,SGAA,Rural,Small,"Mega FC",0.023322478,1.72854603316455,185.512577808603,5
Non-Discounted,FDM04,Apparel,2016,SGAA,Rural,Small,"Mega FC",0.04712061,0.301067185749455,359.063533546737,5
Non-Discounted,FDI40,Apparel,2016,SGAA,Rural,Small,"Mega FC",0.12560295100000002,0.47986710685867706,773.424475202519,5
Non-Discounted,AMZ04,Apparel,2016,SGAA,Rural,Small,"Mega FC",0.041571557,0.49194889109211204,676.240080401243,5
Non-Discounted,FDS15,"Large Appliances",2016,SGAA,Rural,Small,"Mega FC",0.07806060100000001,33.5959559783278,21220.7437542091,5
Non-Discounted,FDJ57,"Automotive & Tools",2016,SGAA,Rural,Small,"Mega FC",0.021573645000000002,3.84552456772859,605.220818790406,5
Non-Discounted,FDG21,"Automotive & Tools",2016,SGAA,Rural,Small,"Mega FC",0.146299902,2.51184680458173,1350.17335813254,5
Non-Discounted,FDW21,Household,2016,SGAA,Rural,Small,"Mega FC",0.005963881000000001,2.03941995334906,1456.7596995484298,5
Non-Discounted,AMZ10,Household,2016,SGAA,Rural,Small,"Mega FC",0.123710526,1.46716271681603,668.906398322605,5
Discounted,DRI51,Groceries,2015,SATA,Suburban,Medium,"Mega FC",0.016486511000000002,0.857013423000279,124.812453212991,5
Discounted,NCZ17,"Home Entertainment",2020,AMD2,Suburban,Medium,"Mega FC",0.016486511000000002,4.39092437969927,4788.82551617851,5
Discounted,DRE25,"Smart Home",2020,AMD2,Suburban,Medium,"Mega FC",0.073697713,2.13578579581298,1709.97758886555,5
Discounted,FDT60,Fitness,2015,SATA,Suburban,Medium,"Mega FC",0.075701524,2.8832468091842,131.69092043974499,5
Discounted,FDN24,Fitness,2015,SATA,Suburban,Medium,"Mega FC",0.11349714,3.46572142188393,946.727615659293,5
Discounted,FDO37,"Pet Supplies",2015,SATA,Suburban,Medium,"Mega FC",0.021420031000000003,2.21258948114995,1289.8240548039698,5
Discounted,FDI14,"Books, Games & Toys",2015,SATA,Suburban,Medium,"Mega FC",0.089859642,0.662954305709569,550.900083676146,5
Discounted,FDW37,"Books, Games & Toys",2015,SATA,Suburban,Medium,"Mega FC",0.12430196800000001,0.9010060336515141,421.93152498223697,5
Discounted,DRC27,Groceries,2015,SATA,Suburban,Medium,"Mega FC",0.058220302,0.9337208860463121,129.304641471508,5
Discounted,FDK16,Apparel,2015,SATA,Suburban,Medium,"Mega FC",0.115563679,0.5851421282896181,1043.81629527832,5
Discounted,FDK41,Apparel,2015,SATA,Suburban,Medium,"Mega FC",0.12780038,0.615147936196305,755.205157637861,5
Discounted,FDY31,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.043651198,1.16942055291958,20985.4818748398,5
Discounted,FDT20,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.041479396,0.9774060299375361,9365.855461773299,5
Discounted,FDI45,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.037657459000000004,1.32154005377317,9955.81586416511,5
Discounted,FDG57,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.072444983,0.953656581436197,13593.4965678532,5
Discounted,FDN32,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.015591925000000001,1.42386355036954,7743.50261492122,5
Discounted,AMZ19,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.096929994,1.42433186764118,12702.4330151191,5
Discounted,FDP20,Electronics,2015,SATA,Suburban,Medium,"Mega FC",0.045761855000000004,1.63480099717195,10108.7984289296,5
Discounted,NCR17,"Home Entertainment",2015,SATA,Suburban,Small,"Mega FC",0.024432767,2.61025215264686,4478.05973675272,5
Discounted,NCT17,"Home Entertainment",2015,SATA,Suburban,Small,"Mega FC",0.041950753,2.98135010042759,3583.3932096886997,5
Discounted,NCU05,"Home Entertainment",2015,SATA,Suburban,Small,"Mega FC",0.058855357000000004,2.08120292157246,5262.2860872723195,5
Discounted,NCT42,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.024937792,0.23689020155473903,795.0956328963169,5
Discounted,NCV18,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.105459307,0.36029547795223504,941.519666425419,5
Discounted,NCH43,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.07071203100000001,0.39779733982521603,1147.3450191422999,5
Discounted,NCE18,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.021468792,0.293185707984905,1567.8448959947,5
Discounted,NCC18,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.177629525,0.435230322538589,1523.3895940671798,5
Discounted,NCJ42,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.01433033,0.31490464312322203,1759.7573563573599,5
Discounted,FDQ10,Household,2015,SATA,Suburban,Small,"Mega FC",0.03324652,3.12364005504498,1231.4668360997,5
Discounted,FDL34,Household,2015,SATA,Suburban,Small,"Mega FC",0.041028937,1.52416902397443,1370.5701160530998,5
Discounted,DRK37,"Smart Home",2015,SATA,Suburban,Small,"Mega FC",0.016486511000000002,1.55978807086352,3017.6071505731297,5
Discounted,DRF48,"Smart Home",2015,SATA,Suburban,Small,"Mega FC",0.05190652,2.02433725176061,2615.07007423512,5
Discounted,DRG49,"Smart Home",2015,SATA,Suburban,Small,"Mega FC",0.067592098,2.02434760992294,2578.76237975673,5
Discounted,AMZ60,Fitness,2020,AMD2,Suburban,Small,"Mega FC",0.08105000600000001,4.70659577697403,949.205138659019,5
Discounted,FDS13,"Books, Games & Toys",2020,AMD2,Suburban,Small,"Mega FC",0.125210375,0.9431917527606171,334.508636423107,5
Discounted,FDC50,"Books, Games & Toys",2020,AMD2,Suburban,Small,"Mega FC",0.13727,1.36804906994054,364.572287389286,5
Discounted,FDK51,Groceries,2020,AMD2,Suburban,Small,"Mega FC",0.005264755,1.20223920248046,139.888821372476,5
Discounted,FDD17,Apparel,2020,AMD2,Suburban,Small,"Mega FC",0.032811503,0.5303182250550751,231.001510668934,5
Discounted,FDJ28,Apparel,2020,AMD2,Suburban,Small,"Mega FC",0.021984639,0.5406792858814611,623.802187304439,5
Discounted,FDP16,Apparel,2020,AMD2,Suburban,Small,"Mega FC",0.039517121,0.34792827270723403,418.619507071813,5
Discounted,FDB20,Electronics,2020,AMD2,Suburban,Small,"Mega FC",0.052274691000000005,1.41701488872741,14544.8871432542,5
Discounted,FDP56,Electronics,2020,AMD2,Suburban,Small,"Mega FC",0.046747071,1.72331383891316,15258.9273312597,5
Discounted,FDT43,Electronics,2020,AMD2,Suburban,Small,"Mega FC",0.020664178000000002,1.45230001443613,9780.81779910538,5
Discounted,DRI59,Kitchenware,2020,AMD2,Suburban,Small,"Mega FC",0.041065647000000004,2.20696571730204,389.560491192857,5
Discounted,DRN47,Kitchenware,2020,AMD2,Suburban,Small,"Mega FC",0.016921927,1.64356641970538,435.346249944719,5
Discounted,DRM23,Kitchenware,2020,AMD2,Suburban,Small,"Mega FC",0.13650098100000002,2.20764565314814,414.829929077363,5
Discounted,NCN53,"Home Entertainment",2020,AMD2,Suburban,Small,"Mega FC",0.030527166,3.49373535355501,2522.6334663862,5
Discounted,NCT53,"Home Entertainment",2020,AMD2,Suburban,Small,"Mega FC",0.048388423,1.54883404693794,5673.59518684362,5
Discounted,NCQ05,"Home Entertainment",2020,AMD2,Suburban,Small,"Mega FC",0.016486511000000002,3.81209176140189,4182.12295655863,5
Discounted,NCM53,"Home Entertainment",2020,AMD2,Suburban,Small,"Mega FC",0.05233528,2.7432240832131,2641.92788207743,5
Discounted,NCX42,"Beauty & Personal Care",2020,AMD2,Suburban,Small,"Mega FC",0.006012413,0.24248466702801103,1257.74735832618,5
Discounted,NCT18,"Beauty & Personal Care",2020,AMD2,Suburban,Large,"Mega FC",0.059741172,0.38866724993463203,1625.81123040585,5
Discounted,NCI30,"Beauty & Personal Care",2020,AMD2,Suburban,Large,"Mega FC",0.059268885,0.45950097203515106,1010.1568801017099,5
Discounted,NCE54,"Beauty & Personal Care",2020,AMD2,Suburban,Large,"Mega FC",0.027052018,0.32292423137439,1651.12605243548,5
Discounted,FDH19,"Large Appliances",2020,AMD2,Suburban,Large,"Mega FC",0.033275634000000005,44.1173600963957,34721.673425636,5
Discounted,FDT03,"Large Appliances",2020,AMD2,Suburban,Large,"Mega FC",0.01005532,26.443744337183002,22070.6470261344,5
Discounted,NCN19,Others,2020,AMD2,Suburban,Large,"Mega FC",0.012167988000000001,2.09281483913917,564.762607844011,5
Discounted,NCQ43,Others,2020,AMD2,Suburban,Large,"Mega FC",0.11193119300000001,0.8472596418661461,321.929352240029,5
Discounted,FDK09,Household,2020,AMD2,Suburban,Large,"Mega FC",0.09228235300000001,1.65378862988603,1344.4331467857198,5
Discounted,FDV46,Household,2020,AMD2,Suburban,Large,"Mega FC",0.012679191000000001,2.01043384675207,706.571735079966,5
